
Hyundai I30	25-08-2018	394,43	42,92	674,1
Hyundai I30	04-09-2018	465,09	47,75	810
Hyundai I30	14-09-2018	373,88	40,03	736,7
Hyundai I30	20-09-2018	327,05	35,28	627,3
Hyundai I30	27-09-2018	445,08	46,9	741,8
Hyundai I30	09-10-2018	441,06	42,45	766,5
Hyundai I30	16-10-2018	426,08	43,79	451,4
Hyundai I30	20-10-2018	244,68	24,74	482,2
Hyundai I30	28-10-2018	381,3	39,35	646,9
Hyundai I30	10-11-2018	438,34	45,33	746,4
Hyundai I30	20-11-2018	435,57	44,72	692,8
Hyundai I30	30-11-2018	383,51	43,14	741,5
Hyundai I30	07-12-2018	366,21	41,24	626
Hyundai I30	19-12-2018	392,78	44,94	721,4
Hyundai I30	27-12-2018	377,1	42,95	681,7
Hyundai I30	31-12-2018	363,97	42,72	664
Hyundai I30	05-01-2019	388,07	45,23	632,8
Hyundai I30	15-01-2019	376,33	40,95	692,4
Hyundai I30	25-01-2019	390,99	43,54	712,8
Hyundai I30	02-02-2019	365,41	41,15	671
Hyundai I30	03-02-2019	387,6	43,6	611,6
Hyundai I30	11-02-2019	341,18	38,77	626,2
Hyundai I30	16-02-2019	375,23	40,83	662,1
Hyundai I30	24-02-2019	411,87	44,43	703
Hyundai I30	01-03-2019	426,6	46,42	735,4
Hyundai I30	11-03-2019	409,78	43,64	470,6
Hyundai I30	18-03-2019	386,81	42,09	684,4
Hyundai I30	24-03-2019	381,26	40,82	621,1
Hyundai I30	30-03-2019	384,87	42,34	649,7
Hyundai I30	07-04-2019	381,78	42	707,4
Hyundai I30	18-04-2019	349,5	38,03	613,1
Hyundai I30	26-04-2019	283,32	28,36	503,6
Hyundai I30	30-04-2019	403,47	43,06	616,4
Hyundai I30	01-05-2019	403,47		
Hyundai I30	10-05-2019	386,97	41,88	742,9
Hyundai I30	19-05-2019	400,86	42,24	706,4
Hyundai I30	01-06-2019	392,55	43,28	718,6
Hyundai I30	08-06-2019	377,97	43	732,1
Hyundai I30	11-06-2019	377,97		
Hyundai I30	21-06-2019	434,55	45,79	806,6
Hyundai I30	03-07-2019	437,9	48,28	827,8
Hyundai I30	12-07-2019	277,82	28,97	495,5
Hyundai I30	16-07-2019	323,58		534,8
Hyundai I30	27-07-2019	398,41	43,59	747,1
Hyundai I30	03-08-2019	354,21	39,4	659,7
Hyundai I30	10-08-2019	341,26	39,96	653,5
Hyundai I30	17-08-2019	317,26	35,97	614,1
Hyundai I30	26-08-2019	360,42	39,65	696,5
Hyundai I30	07-09-2019	420,72	46,54	762,5
Hyundai I30	20-09-2019	416,26	44,33	785,8
Hyundai I30	29-09-2019	365,26	40,05	664,6
Hyundai I30	05-10-2019	340,34	38,5	716,7
Hyundai I30	15-10-2019	290,13	31,57	483,2
Hyundai I30	24-10-2019	425,74	47,89	758,6
Hyundai I30	03-11-2019	354,48	40,42	635,2
Hyundai I30	13-11-2019	430,58	46,2	806,9
Hyundai I30	27-11-2019	429,75	46,11	750,8
Hyundai I30	10-12-2019	402,66	44,79	715
Hyundai I30	20-12-2019	424,05	45,16	709,8
Hyundai I30	28-12-2019	348,69	36,36	546,1
Hyundai I30	10-01-2020	427,07	42,75	704,7
Hyundai I30	21-01-2020	422,19	46,04	615,3
Hyundai I30	31-01-2020	388,6	41,83	709,1
Hyundai I30	21-02-2020	392,02	44,7	644,9
Hyundai I30	09-03-2020	344,73	40,7	657
Hyundai I30	05-04-2020	371,74	45,39	636,2
Hyundai I30	20-05-2020	326,72	41,41	718,6
Hyundai I30	30-05-2020	275,68	34,94	572,5
Hyundai I30	09-06-2020	343,82	41,98	664,5
Hyundai I30	17-06-2020	330,11	39,82	710,8
Hyundai I30	30-06-2020	382,58	46,15	735,1
Hyundai I30	13-07-2020	342,32	40,32	651,3
Hyundai I30	18-07-2020	304,64	36,31	559,8
Hyundai I30	25-07-2020	312,86	36,85	613
Hyundai I30	08-08-2020	372,8	43,91	727,5
Hyundai I30	18-08-2020	382,5	45,59	702,9
Hyundai I30	28-08-2020	311,19	37,09	615,4
Hyundai I30	10-09-2020	370,36	45,78	696,9
Hyundai I30	01-10-2020	343,99	42,52	672,3
Hyundai I30	13-10-2020	369,61	45,13	698,4
Hyundai I30	29-10-2020	332,74	41,13	643,9
Hyundai I30	17-11-2020	372,97	44,99	611,7
Hyundai I30	13-12-2020	410,17	47,2	658,3
Hyundai I30	02-01-2021	394,07	45,14	690,5
Hyundai I30	23-01-2021	436,91	48,6	723,7
Hyundai I30	12-02-2021	381,63	41,08	603,9
Hyundai I30	03-03-2021	435,1	45,37	712,2
Hyundai I30	29-03-2021	437,01	46,05	673
Hyundai I30	22-04-2021	416,54	44,36	745
Hyundai I30	17-05-2021	453,59	46,81	732,9
Hyundai I30	07-06-2021	440,9	44,58	489,4
Hyundai I30	28-06-2021	432,46	42,86	719,9
Hyundai I30	08-07-2021	432,56	42,87	715
Hyundai I30	04-08-2021	471,7	46,29	777,9
Hyundai I30	14-08-2021	444,77	44,08	786,2
Hyundai I30	26-08-2021	464,97	45,63	769,7
Hyundai I30	05-09-2021	453,99	44,12	695,9
Hyundai I30	17-09-2021	448,66	42,77	662
Hyundai I30	08-10-2021	503,87	44,63	727,1
Hyundai I30	16-10-2021	445,81	38,8	578,4
Hyundai I30	24-10-2021	456,74	40,1	685,4
Hyundai I30	31-10-2021	447,42	38,94	589,2
Hyundai I30	12-11-2021	480,99	41,5	647,6
Hyundai I30	23-11-2021	494,67	43,43	652
Hyundai I30	29-11-2021	402,45	36,62	547,7
Hyundai I30	15-12-2021	466,56	42,07	649,1
Hyundai I30	08-01-2022	505,9	44,03	701,2
Hyundai I30	18-01-2022	483,65	41,73	611,2
Peugeot 5008	05-02-2022	598,3	50,32	784,3
Peugeot 5008	17-02-2022	599,06	49,55	795,1
Peugeot 5008	23-02-2022			
Peugeot 5008	27-02-2022	610,64	48,89	720,1
Peugeot 5008	08-03-2022	671	43,6	705,1
Peugeot 5008	23-03-2022			730
Peugeot 5008	07-04-2022	654,77	47,14	776,7
Peugeot 5008	20-04-2022	633,94	43,45	714,9
Peugeot 5008	03-05-2022	707,16	46,25	787,1
Peugeot 5008	13-05-2022	517,07	35,44	
Peugeot 5008	23-05-2022	602,08	42,43	686,7
Peugeot 5008	03-06-2022	639,73	40,26	677,6
Peugeot 5008	08-06-2022	774,59	47,26	745,2
Peugeot 5008	18-06-2022	745,36	44,13	745,3
Peugeot 5008	29-06-2022	780,69	48,52	2168,1
Peugeot 5008	31-07-2022	728,51	47,96	772,3
Peugeot 5008	12-08-2022	751,45	52,22	821,5
Peugeot 5008	19-08-2022	427,65	28,34	470,5
Peugeot 5008	24-08-2022	753,43	48,64	847,1
Peugeot 5008	08-09-2022	723,06	48,56	812,5
Peugeot 5008	12-09-2022	675,01	45,95	743
Peugeot 5008	19-09-2022	700,7	49,73	851,2
Peugeot 5008	29-09-2022	648,84	43,87	725
Peugeot 5008	06-10-2022	776,86	48,89	820
